[18-Feb-2006 19:55:07] PHP Warning:  Unknown(): Failed to write session data (files). Please verify that the current setting of session.save_path is correct (/tmp) in Unknown on line 0
[25-Feb-2006 01:51:35] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[25-Feb-2006 01:51:35] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:02] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in /usr/local/etc/httpd/htdocs/clients/gscale/shop/admin/db_mysql.php on line 219
[03-Mar-2006 14:39:15] PHP Fatal error:  Allowed memory size of 8388608 bytes exhausted (tried to allocate 4395243 bytes) in /usr/local/etc/httpd/htdocs/clients/gscale/shop/libsecure.php on line 159
